[2026-05-14 13:06:33] SESSION_START: Face Recognition Experiment
[2026-05-14 13:06:33] SETUP: Model=multiplicativo | Rank=25 | MaxIter=500
[2026-05-14 13:06:33] STATUS: Starting Training Loop...
[13:06:33] [MULT_ALGO] Starting Optimization (MaxIter=500, Tol=0.0001)
[13:06:33] [MULT_ALGO] ITER |  RECON_ERROR  |   DELTA_W  |   DELTA_H  | TIME(s)
-------------------------------------------------------------------------------------
[13:06:33] [MULT_ALGO] 0001 | 3.069804e-01 | 2.9330e-01 | 9.3167e-01 |   0.05
[13:06:33] [MULT_ALGO] 0010 | 3.011946e-01 | 1.2103e-02 | 7.5827e-03 |   0.33
[13:06:33] [MULT_ALGO] 0020 | 2.880355e-01 | 1.8921e-02 | 1.6775e-02 |   0.62
[13:06:35] [MULT_ALGO] 0030 | 2.638079e-01 | 1.6757e-02 | 1.6208e-02 |   1.98
[13:06:35] [MULT_ALGO] 0040 | 2.442635e-01 | 1.4123e-02 | 1.4010e-02 |   2.27
[13:06:35] [MULT_ALGO] 0050 | 2.286468e-01 | 1.1225e-02 | 1.0794e-02 |   2.56
[13:06:37] [MULT_ALGO] 0060 | 2.176190e-01 | 9.1247e-03 | 8.4743e-03 |   3.78
[13:06:37] [MULT_ALGO] 0070 | 2.093979e-01 | 7.6874e-03 | 7.0748e-03 |   4.06
[13:06:37] [MULT_ALGO] 0080 | 2.030832e-01 | 6.5334e-03 | 5.9895e-03 |   4.33
[13:06:37] [MULT_ALGO] 0090 | 1.981694e-01 | 5.6192e-03 | 5.1149e-03 |   4.71
[13:06:39] [MULT_ALGO] 0100 | 1.942703e-01 | 4.8817e-03 | 4.4219e-03 |   5.92
[13:06:39] [MULT_ALGO] 0110 | 1.911205e-01 | 4.2616e-03 | 3.8665e-03 |   6.17
[13:06:40] [MULT_ALGO] 0120 | 1.885397e-01 | 3.7417e-03 | 3.4109e-03 |   7.43
[13:06:41] [MULT_ALGO] 0130 | 1.864034e-01 | 3.3046e-03 | 3.0296e-03 |   7.76
[13:06:41] [MULT_ALGO] 0140 | 1.846248e-01 | 2.9294e-03 | 2.7030e-03 |   8.02
[13:06:42] [MULT_ALGO] 0150 | 1.831392e-01 | 2.6015e-03 | 2.4192e-03 |   9.28
[13:06:42] [MULT_ALGO] 0160 | 1.818937e-01 | 2.3178e-03 | 2.1739e-03 |   9.57
[13:06:43] [MULT_ALGO] 0170 | 1.808444e-01 | 2.0723e-03 | 1.9644e-03 |   9.86
[13:06:43] [MULT_ALGO] 0180 | 1.799550e-01 | 1.8610e-03 | 1.7867e-03 |  10.14
[13:06:44] [MULT_ALGO] 0190 | 1.791957e-01 | 1.6814e-03 | 1.6357e-03 |  11.33
[13:06:44] [MULT_ALGO] 0200 | 1.785424e-01 | 1.5291e-03 | 1.5069e-03 |  11.62
[13:06:45] [MULT_ALGO] 0210 | 1.779761e-01 | 1.4006e-03 | 1.3961e-03 |  11.92
[13:06:45] [MULT_ALGO] 0220 | 1.774816e-01 | 1.2915e-03 | 1.3002e-03 |  12.24
[13:06:46] [MULT_ALGO] 0230 | 1.770470e-01 | 1.1978e-03 | 1.2163e-03 |  13.44
[13:06:46] [MULT_ALGO] 0240 | 1.766624e-01 | 1.1167e-03 | 1.1424e-03 |  13.74
[13:06:47] [MULT_ALGO] 0250 | 1.763200e-01 | 1.0465e-03 | 1.0767e-03 |  14.04
[13:06:48] [MULT_ALGO] 0260 | 1.760135e-01 | 9.8523e-04 | 1.0177e-03 |  15.23
[13:06:48] [MULT_ALGO] 0270 | 1.757375e-01 | 9.3101e-04 | 9.6444e-04 |  15.56
[13:06:49] [MULT_ALGO] 0280 | 1.754877e-01 | 8.8272e-04 | 9.1603e-04 |  15.86
[13:06:50] [MULT_ALGO] 0290 | 1.752607e-01 | 8.3970e-04 | 8.7188e-04 |  17.06
[13:06:50] [MULT_ALGO] 0300 | 1.750533e-01 | 8.0116e-04 | 8.3151e-04 |  17.36
[13:06:50] [MULT_ALGO] 0310 | 1.748630e-01 | 7.6642e-04 | 7.9461e-04 |  17.64
[13:06:51] [MULT_ALGO] 0320 | 1.746878e-01 | 7.3501e-04 | 7.6088e-04 |  18.04
[13:06:52] [MULT_ALGO] 0330 | 1.745257e-01 | 7.0643e-04 | 7.3008e-04 |  19.15
[13:06:52] [MULT_ALGO] 0340 | 1.743753e-01 | 6.8016e-04 | 7.0195e-04 |  19.51
[13:06:53] [MULT_ALGO] 0350 | 1.742352e-01 | 6.5573e-04 | 6.7623e-04 |  19.96
[13:06:54] [MULT_ALGO] 0360 | 1.741043e-01 | 6.3291e-04 | 6.5270e-04 |  21.09
[13:06:54] [MULT_ALGO] 0370 | 1.739816e-01 | 6.1170e-04 | 6.3114e-04 |  21.37
[13:06:54] [MULT_ALGO] 0380 | 1.738662e-01 | 5.9213e-04 | 6.1137e-04 |  21.69
[13:06:56] [MULT_ALGO] 0390 | 1.737573e-01 | 5.7415e-04 | 5.9321e-04 |  22.95
[13:06:56] [MULT_ALGO] 0400 | 1.736542e-01 | 5.5757e-04 | 5.7652e-04 |  23.23
[13:06:56] [MULT_ALGO] 0410 | 1.735565e-01 | 5.4219e-04 | 5.6113e-04 |  23.55
[13:06:58] [MULT_ALGO] 0420 | 1.734635e-01 | 5.2783e-04 | 5.4691e-04 |  24.88
[13:06:58] [MULT_ALGO] 0430 | 1.733750e-01 | 5.1438e-04 | 5.3374e-04 |  25.20
[13:06:58] [MULT_ALGO] 0440 | 1.732904e-01 | 5.0182e-04 | 5.2151e-04 |  25.50
[13:06:59] [MULT_ALGO] 0450 | 1.732095e-01 | 4.9013e-04 | 5.1013e-04 |  25.78
[13:07:00] [MULT_ALGO] 0460 | 1.731319e-01 | 4.7931e-04 | 4.9950e-04 |  27.13
[13:07:00] [MULT_ALGO] 0470 | 1.730574e-01 | 4.6926e-04 | 4.8952e-04 |  27.50
[13:07:01] [MULT_ALGO] 0480 | 1.729858e-01 | 4.5990e-04 | 4.8009e-04 |  27.78
[13:07:01] [MULT_ALGO] 0490 | 1.729169e-01 | 4.5106e-04 | 4.7111e-04 |  28.16
[13:07:02] [MULT_ALGO] 0500 | 1.728506e-01 | 4.4256e-04 | 4.6251e-04 |  29.35
[13:07:02] [MULT_ALGO] STOPPED: Max Iterations Reached (500)
-------------------------------------------------------------------------------------

[2026-05-14 13:07:02] STATUS: Training Finished. Time=29.347s
[2026-05-14 13:07:02] STATUS: Projecting Test Data and Classifying...

=== CLASSIFICATION REPORT ===
IDX | REAL_ID | PRED_ID | DISTANCE | MATCH_IDX | STATUS
--------------------------------------------------------
001 |   01    |   01    |  0.1578  |   0001    | HIT 
002 |   01    |   24    |  0.1506  |   0166    | MISS
003 |   01    |   01    |  0.1299  |   0006    | HIT 
004 |   02    |   02    |  0.0823  |   0009    | HIT 
005 |   02    |   02    |  0.0973  |   0011    | HIT 
006 |   02    |   02    |  0.0872  |   0012    | HIT 
007 |   03    |   03    |  0.0965  |   0021    | HIT 
008 |   03    |   03    |  0.1114  |   0019    | HIT 
009 |   03    |   03    |  0.0584  |   0016    | HIT 
010 |   04    |   04    |  0.0708  |   0026    | HIT 
011 |   04    |   04    |  0.0783  |   0025    | HIT 
012 |   04    |   04    |  0.0760  |   0024    | HIT 
013 |   05    |   05    |  0.0425  |   0033    | HIT 
014 |   05    |   05    |  0.1181  |   0035    | HIT 
015 |   05    |   05    |  0.0944  |   0035    | HIT 
016 |   06    |   06    |  0.0906  |   0041    | HIT 
017 |   06    |   06    |  0.0794  |   0042    | HIT 
018 |   06    |   06    |  0.1202  |   0041    | HIT 
019 |   07    |   07    |  0.0629  |   0046    | HIT 
020 |   07    |   07    |  0.1108  |   0049    | HIT 
021 |   07    |   07    |  0.0586  |   0046    | HIT 
022 |   08    |   08    |  0.0847  |   0052    | HIT 
023 |   08    |   08    |  0.0601  |   0055    | HIT 
024 |   08    |   08    |  0.1099  |   0050    | HIT 
025 |   09    |   09    |  0.0719  |   0063    | HIT 
026 |   09    |   31    |  0.0992  |   0211    | MISS
027 |   09    |   09    |  0.0816  |   0061    | HIT 
028 |   10    |   10    |  0.0849  |   0070    | HIT 
029 |   10    |   10    |  0.0597  |   0066    | HIT 
030 |   10    |   38    |  0.1230  |   0266    | MISS
031 |   11    |   11    |  0.0949  |   0072    | HIT 
032 |   11    |   15    |  0.1732  |   0102    | MISS
033 |   11    |   11    |  0.1519  |   0074    | HIT 
034 |   12    |   12    |  0.0759  |   0080    | HIT 
035 |   12    |   17    |  0.1144  |   0116    | MISS
036 |   12    |   12    |  0.0790  |   0079    | HIT 
037 |   13    |   13    |  0.0949  |   0086    | HIT 
038 |   13    |   13    |  0.0879  |   0085    | HIT 
039 |   13    |   13    |  0.0965  |   0091    | HIT 
040 |   14    |   22    |  0.1332  |   0149    | MISS
041 |   14    |   28    |  0.1312  |   0194    | MISS
042 |   14    |   14    |  0.1000  |   0093    | HIT 
043 |   15    |   15    |  0.0792  |   0104    | HIT 
044 |   15    |   22    |  0.1181  |   0148    | MISS
045 |   15    |   15    |  0.0799  |   0104    | HIT 
046 |   16    |   01    |  0.1553  |   0002    | MISS
047 |   16    |   04    |  0.1722  |   0028    | MISS
048 |   16    |   16    |  0.1481  |   0108    | HIT 
049 |   17    |   17    |  0.0817  |   0119    | HIT 
050 |   17    |   17    |  0.0972  |   0119    | HIT 
051 |   17    |   17    |  0.0839  |   0119    | HIT 
052 |   18    |   18    |  0.1121  |   0125    | HIT 
053 |   18    |   18    |  0.0905  |   0125    | HIT 
054 |   18    |   18    |  0.1035  |   0124    | HIT 
055 |   19    |   19    |  0.1219  |   0131    | HIT 
056 |   19    |   19    |  0.1076  |   0132    | HIT 
057 |   19    |   01    |  0.1635  |   0001    | MISS
058 |   20    |   20    |  0.0790  |   0139    | HIT 
059 |   20    |   30    |  0.1294  |   0210    | MISS
060 |   20    |   20    |  0.1413  |   0139    | HIT 
061 |   21    |   21    |  0.1003  |   0145    | HIT 
062 |   21    |   21    |  0.0521  |   0142    | HIT 
063 |   21    |   21    |  0.0510  |   0145    | HIT 
064 |   22    |   22    |  0.0890  |   0154    | HIT 
065 |   22    |   22    |  0.0651  |   0148    | HIT 
066 |   22    |   22    |  0.0578  |   0148    | HIT 
067 |   23    |   23    |  0.1021  |   0161    | HIT 
068 |   23    |   23    |  0.0559  |   0157    | HIT 
069 |   23    |   23    |  0.0898  |   0156    | HIT 
070 |   24    |   24    |  0.0688  |   0164    | HIT 
071 |   24    |   24    |  0.0703  |   0168    | HIT 
072 |   24    |   24    |  0.0639  |   0166    | HIT 
073 |   25    |   25    |  0.0718  |   0172    | HIT 
074 |   25    |   25    |  0.0858  |   0174    | HIT 
075 |   25    |   25    |  0.0849  |   0175    | HIT 
076 |   26    |   28    |  0.1306  |   0193    | MISS
077 |   26    |   26    |  0.0488  |   0177    | HIT 
078 |   26    |   26    |  0.0725  |   0182    | HIT 
079 |   27    |   17    |  0.1519  |   0116    | MISS
080 |   27    |   27    |  0.0704  |   0189    | HIT 
081 |   27    |   27    |  0.0845  |   0189    | HIT 
082 |   28    |   28    |  0.1051  |   0195    | HIT 
083 |   28    |   37    |  0.1355  |   0254    | MISS
084 |   28    |   26    |  0.1574  |   0176    | MISS
085 |   29    |   29    |  0.0788  |   0201    | HIT 
086 |   29    |   29    |  0.1021  |   0201    | HIT 
087 |   29    |   29    |  0.0819  |   0200    | HIT 
088 |   30    |   30    |  0.0990  |   0208    | HIT 
089 |   30    |   30    |  0.0738  |   0210    | HIT 
090 |   30    |   30    |  0.0774  |   0210    | HIT 
091 |   31    |   21    |  0.0887  |   0145    | MISS
092 |   31    |   31    |  0.0639  |   0211    | HIT 
